,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Num Features
Mutual Information,0.7935,0.6597,0.4508,0.5356,0.8452,10
Random Forest,0.7977,0.6728,0.4562,0.5437,0.8452,10
ReliefF,0.7949,0.6551,0.4723,0.5489,0.8501,10
Backward (RFE),0.8058,0.6859,0.4884,0.5705,0.8496,10
