,precision,recall,f1-score,support
0,0.9093041438623924,0.7469492614001284,0.8201692524682651,1557.0
1,0.5292712066905615,0.7924865831842576,0.6346704871060171,559.0
accuracy,0.7589792060491494,0.7589792060491494,0.7589792060491494,0.7589792060491494
macro avg,0.719287675276477,0.769717922292193,0.7274198697871411,2116.0
weighted avg,0.8089079189668095,0.7589792060491494,0.7711646164392024,2116.0
