FPR,TPR
0.0,0.0
0.0,0.0017889087656529517
0.0,0.023255813953488372
0.0006422607578676942,0.023255813953488372
0.0006422607578676942,0.03041144901610018
0.0012845215157353885,0.03041144901610018
0.0012845215157353885,0.05366726296958855
0.0019267822736030828,0.05366726296958855
0.0019267822736030828,0.057245080500894455
0.0019267822736030828,0.059033989266547404
0.002569043031470777,0.059033989266547404
0.002569043031470777,0.07692307692307693
0.0032113037893384713,0.07692307692307693
0.0032113037893384713,0.08407871198568873
0.0032113037893384713,0.08765652951699464
0.0032113037893384713,0.08944543828264759
0.0038535645472061657,0.09123434704830054
0.0038535645472061657,0.09302325581395349
0.00449582530507386,0.09302325581395349
0.00449582530507386,0.09660107334525939
0.00449582530507386,0.1001788908765653
0.00449582530507386,0.11806797853309481
0.005138086062941554,0.11806797853309481
0.005138086062941554,0.12164579606440072
0.005780346820809248,0.12164579606440072
0.005780346820809248,0.1252236135957066
0.006422607578676943,0.1252236135957066
0.006422607578676943,0.13953488372093023
0.007064868336544637,0.13953488372093023
0.007064868336544637,0.16100178890876565
0.007707129094412331,0.16100178890876565
0.007707129094412331,0.1735241502683363
0.008349389852280027,0.1735241502683363
0.008349389852280027,0.17531305903398928
0.009633911368015413,0.17531305903398928
0.009633911368015413,0.18962432915921287
0.010276172125883108,0.18962432915921287
0.010276172125883108,0.19141323792486584
0.010918432883750802,0.19141323792486584
0.010918432883750802,0.19856887298747763
0.012202954399486191,0.19856887298747763
0.012202954399486191,0.20214669051878353
0.012845215157353885,0.20214669051878353
0.012845215157353885,0.2039355992844365
0.01348747591522158,0.2039355992844365
0.01348747591522158,0.2146690518783542
0.014771997430956968,0.2146690518783542
0.014771997430956968,0.2182468694096601
0.01605651894669236,0.2182468694096601
0.01605651894669236,0.22003577817531306
0.017341040462427744,0.22003577817531306
0.017341040462427744,0.22361359570661896
0.018625561978163133,0.22361359570661896
0.018625561978163133,0.22540250447227192
0.019267822736030827,0.22540250447227192
0.019267822736030827,0.23613595706618962
0.01991008349389852,0.23613595706618962
0.01991008349389852,0.24150268336314848
0.021836865767501604,0.24150268336314848
0.021836865767501604,0.24329159212880144
0.023763648041104687,0.24329159212880144
0.023763648041104687,0.24508050089445438
0.024405908798972382,0.24508050089445438
0.024405908798972382,0.2504472271914132
0.02569043031470777,0.2504472271914132
0.02569043031470777,0.2522361359570662
0.026332691072575465,0.2522361359570662
0.026332691072575465,0.2558139534883721
0.02697495183044316,0.25760286225402507
0.02697495183044316,0.26475849731663686
0.028901734104046242,0.26475849731663686
0.028901734104046242,0.2772808586762075
0.029543994861913937,0.2772808586762075
0.029543994861913937,0.2898032200357782
0.030828516377649325,0.2898032200357782
0.030828516377649325,0.295169946332737
0.03147077713551702,0.295169946332737
0.03147077713551702,0.29874776386404295
0.03211303789338472,0.29874776386404295
0.03211303789338472,0.3076923076923077
0.03275529865125241,0.3076923076923077
0.03275529865125241,0.3112701252236136
0.033397559409120106,0.3112701252236136
0.033397559409120106,0.3220035778175313
0.03468208092485549,0.3220035778175313
0.03468208092485549,0.32379248658318427
0.035324341682723186,0.32379248658318427
0.035324341682723186,0.32558139534883723
0.036608863198458574,0.32558139534883723
0.036608863198458574,0.33094812164579607
0.038535645472061654,0.33094812164579607
0.038535645472061654,0.334525939177102
0.04174694926140013,0.334525939177102
0.04174694926140013,0.3363148479427549
0.04303147077713552,0.3363148479427549
0.04303147077713552,0.33810375670840787
0.04367373153500321,0.33810375670840787
0.04367373153500321,0.3416815742397138
0.04431599229287091,0.3416815742397138
0.04431599229287091,0.3434704830053667
0.046242774566473986,0.3434704830053667
0.046242774566473986,0.3470483005366726
0.046885035324341684,0.3470483005366726
0.046885035324341684,0.35241502683363146
0.047527296082209375,0.35241502683363146
0.047527296082209375,0.3542039355992844
