,precision,recall,f1-score,support
0,0.9169303797468354,0.7443802183686576,0.8216944345976605,1557.0
1,0.5328638497652582,0.8121645796064401,0.6435152374202693,559.0
accuracy,0.7622873345935728,0.7622873345935728,0.7622873345935728,0.7622873345935728
macro avg,0.7248971147560468,0.7782723989875489,0.7326048360089649,2116.0
weighted avg,0.8154685696051995,0.7622873345935728,0.7746234652110056,2116.0
